Word,Wikidata QID,Has Miraheze Link,Wikidata URL
a,Q120435970,Yes,https://www.wikidata.org/wiki/Q120435970
akesi,Q137374183,Yes,https://www.wikidata.org/wiki/Q137374183
ala,Q137374184,Yes,https://www.wikidata.org/wiki/Q137374184
alasa,Q137374185,Yes,https://www.wikidata.org/wiki/Q137374185
ale,Q137104453,Yes,https://www.wikidata.org/wiki/Q137104453
ali,Q137374187,Yes,https://www.wikidata.org/wiki/Q137374187
anpa,Q135012208,Yes,https://www.wikidata.org/wiki/Q135012208
ante,Q137374189,Yes,https://www.wikidata.org/wiki/Q137374189
anu,Q137374190,Yes,https://www.wikidata.org/wiki/Q137374190
awen,Q137374192,Yes,https://www.wikidata.org/wiki/Q137374192
e,Q137374193,Yes,https://www.wikidata.org/wiki/Q137374193
en,Q137374194,Yes,https://www.wikidata.org/wiki/Q137374194
esun,Q137374196,Yes,https://www.wikidata.org/wiki/Q137374196
ijo,Q137374197,Yes,https://www.wikidata.org/wiki/Q137374197
ike,Q137374198,Yes,https://www.wikidata.org/wiki/Q137374198
ilo,Q137374199,Yes,https://www.wikidata.org/wiki/Q137374199
insa,Q137374200,Yes,https://www.wikidata.org/wiki/Q137374200
jaki,Q137374201,Yes,https://www.wikidata.org/wiki/Q137374201
jan,Q105816257,Yes,https://www.wikidata.org/wiki/Q105816257
jelo,Q137374204,Yes,https://www.wikidata.org/wiki/Q137374204
jo,Q137374205,Yes,https://www.wikidata.org/wiki/Q137374205
kala,Q92186194,Yes,https://www.wikidata.org/wiki/Q92186194
kalama,Q137374207,Yes,https://www.wikidata.org/wiki/Q137374207
kama,Q137374208,Yes,https://www.wikidata.org/wiki/Q137374208
kasi,Q137374209,Yes,https://www.wikidata.org/wiki/Q137374209
ken,Q137374210,Yes,https://www.wikidata.org/wiki/Q137374210
kepeken,Q137374211,Yes,https://www.wikidata.org/wiki/Q137374211
kijetesantakalu,Q137145315,Yes,https://www.wikidata.org/wiki/Q137145315
kijetesumikyoku,Q137188219,Yes,https://www.wikidata.org/wiki/Q137188219
kili,Q137374213,Yes,https://www.wikidata.org/wiki/Q137374213
kin,Q137374214,Yes,https://www.wikidata.org/wiki/Q137374214
kipisi,Q137374377,Yes,https://www.wikidata.org/wiki/Q137374377
kiwen,Q137374216,Yes,https://www.wikidata.org/wiki/Q137374216
ko,Q137374217,Yes,https://www.wikidata.org/wiki/Q137374217
kon,Q137374219,Yes,https://www.wikidata.org/wiki/Q137374219
ku,Q137374451,Yes,https://www.wikidata.org/wiki/Q137374451
kule,Q137374221,Yes,https://www.wikidata.org/wiki/Q137374221
kulupu,Q137374222,Yes,https://www.wikidata.org/wiki/Q137374222
kute,Q137374223,Yes,https://www.wikidata.org/wiki/Q137374223
la,Q137374302,Yes,https://www.wikidata.org/wiki/Q137374302
lape,Q137374304,Yes,https://www.wikidata.org/wiki/Q137374304
laso,Q137374305,Yes,https://www.wikidata.org/wiki/Q137374305
lawa,Q137374306,Yes,https://www.wikidata.org/wiki/Q137374306
leko,Q137374381,Yes,https://www.wikidata.org/wiki/Q137374381
len,Q137374308,Yes,https://www.wikidata.org/wiki/Q137374308
lete,Q137374309,Yes,https://www.wikidata.org/wiki/Q137374309
li,Q137374310,Yes,https://www.wikidata.org/wiki/Q137374310
lili,Q137374311,Yes,https://www.wikidata.org/wiki/Q137374311
linja,Q137374312,Yes,https://www.wikidata.org/wiki/Q137374312
lipu,Q137374313,Yes,https://www.wikidata.org/wiki/Q137374313
loje,Q137374314,Yes,https://www.wikidata.org/wiki/Q137374314
lon,Q137374315,Yes,https://www.wikidata.org/wiki/Q137374315
luka,Q137374316,Yes,https://www.wikidata.org/wiki/Q137374316
lukin,Q137374317,Yes,https://www.wikidata.org/wiki/Q137374317
lupa,Q137374318,Yes,https://www.wikidata.org/wiki/Q137374318
ma,Q137374319,Yes,https://www.wikidata.org/wiki/Q137374319
mama,Q137374224,Yes,https://www.wikidata.org/wiki/Q137374224
mani,Q137374225,Yes,https://www.wikidata.org/wiki/Q137374225
