QuickStatements to CREATE Wikidata items for all items without Wikidata
================================================================================

Total items to create: 616

Breakdown:
  - Rare words: 281
  - Ligatures/compound words: 332
  - Base category items: 3

Word                           P31 Type        Commons Category                                  
--------------------------------------------------------------------------------
akesi kon                      Compound word   Category:Akesi kon (toki pona)                    
ijo akesi                      Compound word   Category:Ijo akesi (toki pona)                    
ijo ala                        Compound word   Category:Ijo ala (toki pona)                      
ijo alasa                      Compound word   Category:Ijo alasa (toki pona)                    
ijo ale                        Compound word   Category:Ijo ale (toki pona)                      
ijo ali                        Compound word   Category:Ijo ali (toki pona)                      
ijo anpa                       Compound word   Category:Ijo anpa (toki pona)                     
ijo ante                       Compound word   Category:Ijo ante (toki pona)                     
ijo anu                        Compound word   Category:Ijo anu (toki pona)                      
ijo apeja                      Compound word   Category:Ijo apeja (toki pona)                    
ijo awen                       Compound word   Category:Ijo awen (toki pona)                     
ijo en                         Compound word   Category:Ijo en (toki pona)                       
ijo esun                       Compound word   Category:Ijo esun (toki pona)                     
ijo ike                        Compound word   Category:Ijo ike (toki pona)                      
ijo ilo                        Compound word   Category:Ijo ilo (toki pona)                      
ijo insa                       Compound word   Category:Ijo insa (toki pona)                     
ijo jaki                       Compound word   Category:Ijo jaki (toki pona)                     
ijo jan                        Compound word   Category:Ijo jan (toki pona)                      
ijo jelo                       Compound word   Category:Ijo jelo (toki pona)                     
ijo jo                         Compound word   Category:Ijo jo (toki pona)                       
ijo kala                       Compound word   Category:Ijo kala (toki pona)                     
ijo kalama                     Compound word   Category:Ijo kalama (toki pona)                   
ijo kama                       Compound word   Category:Ijo kama (toki pona)                     
ijo kasi                       Compound word   Category:Ijo kasi (toki pona)                     
ijo ken                        Compound word   Category:Ijo ken (toki pona)                      
ijo kepeken                    Compound word   Category:Ijo kepeken (toki pona)                  
ijo kepen                      Compound word   Category:Ijo kepen (toki pona)                    
ijo kijetesantakalu            Compound word   Category:Ijo kijetesantakalu (toki pona)          
ijo kili                       Compound word   Category:Ijo kili (toki pona)                     
ijo kin                        Compound word   Category:Ijo kin (toki pona)                      
ijo kipisi                     Compound word   Category:Ijo kipisi (toki pona)                   
ijo kiwen                      Compound word   Category:Ijo kiwen (toki pona)                    
ijo ko                         Compound word   Category:Ijo ko (toki pona)                       
ijo kon                        Compound word   Category:Ijo kon (toki pona)                      
ijo kule                       Compound word   Category:Ijo kule (toki pona)                     
ijo kulupu                     Compound word   Category:Ijo kulupu (toki pona)                   
