QuickStatements to CREATE Wikidata items for ALL rare Toki Pona words
========================================================================================================================

Total items to create: 313
  With sona.pona.la: 10
  With image: 313
  With concept link: 0

Word                      Commons Category                                        SP   Img  Concept     
------------------------------------------------------------------------------------------------------------------------
aasu                      Category:Aasun (toki pona)                              No   Yes  N/A         
aj                        Category:Aja (toki pona)                                No   Yes  N/A         
ak                        Category:Aka (toki pona)                                No   Yes  N/A         
ak                        Category:Ako (toki pona)                                No   Yes  N/A         
ak                        Category:Aku (toki pona)                                No   Yes  N/A         
al                        Category:Alu (toki pona)                                No   Yes  N/A         
alent                     Category:Alente (toki pona)                             No   Yes  N/A         
alis                      Category:Alisa (toki pona)                              No   Yes  N/A         
amank                     Category:Amanka (toki pona)                             No   Yes  N/A         
ameli                     Category:Amelin (toki pona)                             No   Yes  N/A         
amonk                     Category:Amonka (toki pona)                             No   Yes  N/A         
an                        Category:Ana (toki pona)                                No   Yes  N/A         
an                        Category:Ani (toki pona)                                No   Yes  N/A         
ans                       Category:Ansu (toki pona)                               No   Yes  N/A         
ant                       Category:Anta (toki pona)                               No   Yes  N/A         
antepa                    Category:Antepan (toki pona)                            No   Yes  N/A         
antikontitutonelem        Category:Antikontitutonelema (toki pona)                No   Yes  N/A         
ap                        Category:Api (toki pona)                                No   Yes  N/A         
apel                      Category:Apelo (toki pona)                              No   Yes  N/A         
as                        Category:Asu (toki pona)                                No   Yes  N/A         
asik                      Category:Asiku (toki pona)                              No   Yes  N/A         
asuk                      Category:Asuki (toki pona)                              No   Yes  N/A         
asut                      Category:Asuto (toki pona)                              No   Yes  N/A         
at                        Category:Atu (toki pona)                                No   Yes  N/A         
awas                      Category:Awase (toki pona)                              No   Yes  N/A         
ek                        Category:Eki (toki pona)                                No   Yes  N/A         
ek                        Category:Eko (toki pona)                                No   Yes  N/A         
ele                       Category:Elen (toki pona)                               No   Yes  N/A         
elik                      Category:Eliki (toki pona)                              No   Yes  N/A         
en                        Category:Ene (toki pona)                                No   Yes  N/A         
en                        Category:Eni (toki pona)                                No   Yes  N/A         
enep                      Category:Enepi (toki pona)                              No   Yes  N/A         
enk                       Category:Enki (toki pona)                               No   Yes  N/A         
enk                       Category:Enko (toki pona)                               No   Yes  N/A         
epikul                    Category:Epikule (toki pona)                            No   Yes  N/A         
esil                      Category:Esile (toki pona)                              No   Yes  N/A         
et                        Category:Ete (toki pona)                                No   Yes  N/A         
ew                        Category:Ewe (toki pona)                                No   Yes  N/A         
ewek                      Category:Eweke (toki pona)                              No   Yes  N/A         
fairfa                    Category:Fairfax (toki pona)                            No   Yes  N/A         
h                         Category:HD (toki pona)                                 No   Yes  N/A         
ik                        Category:Iki (toki pona)                                No   Yes  N/A         
