P18 (image) QuickStatements for newly created Wikidata items
================================================================================

Total items: 646

QID             Word                           SVG Filename                            
--------------------------------------------------------------------------------
Q137763252      akesi kon                      Sitelen-seli-kiwen-akesi-kon.svg        
Q137763253      ijo akesi                      Sitelen-seli-kiwen-ijo-akesi.svg        
Q137763254      ijo ala                        Sitelen-seli-kiwen-ijo-ala.svg          
Q137763255      ijo alasa                      Sitelen-seli-kiwen-ijo-alasa.svg        
Q137763256      ijo ale                        Sitelen-seli-kiwen-ijo-ale.svg          
Q137763257      ijo ali                        Sitelen-seli-kiwen-ijo-ali.svg          
Q137763258      ijo anpa                       Sitelen-seli-kiwen-ijo-anpa.svg         
Q137763259      ijo ante                       Sitelen-seli-kiwen-ijo-ante.svg         
Q137763260      ijo anu                        Sitelen-seli-kiwen-ijo-anu.svg          
Q137763261      ijo apeja                      Sitelen-seli-kiwen-ijo-apeja.svg        
Q137763262      ijo awen                       Sitelen-seli-kiwen-ijo-awen.svg         
Q137763263      ijo en                         Sitelen-seli-kiwen-ijo-en.svg           
Q137763264      ijo esun                       Sitelen-seli-kiwen-ijo-esun.svg         
Q137763265      ijo ike                        Sitelen-seli-kiwen-ijo-ike.svg          
Q137763266      ijo ilo                        Sitelen-seli-kiwen-ijo-ilo.svg          
Q137763267      ijo insa                       Sitelen-seli-kiwen-ijo-insa.svg         
Q137763268      ijo jaki                       Sitelen-seli-kiwen-ijo-jaki.svg         
Q137763269      ijo jan                        Sitelen-seli-kiwen-ijo-jan.svg          
Q137763270      ijo jelo                       Sitelen-seli-kiwen-ijo-jelo.svg         
Q137763271      ijo jo                         Sitelen-seli-kiwen-ijo-jo.svg           
Q137763273      ijo kala                       Sitelen-seli-kiwen-ijo-kala.svg         
Q137763274      ijo kalama                     Sitelen-seli-kiwen-ijo-kalama.svg       
Q137763275      ijo kama                       Sitelen-seli-kiwen-ijo-kama.svg         
Q137763276      ijo kasi                       Sitelen-seli-kiwen-ijo-kasi.svg         
Q137763277      ijo ken                        Sitelen-seli-kiwen-ijo-ken.svg          
Q137763279      ijo kepeken                    Sitelen-seli-kiwen-ijo-kepeken.svg      
Q137763280      ijo kepen                      Sitelen-seli-kiwen-ijo-kepen.svg        
Q137763281      ijo kijetesantakalu            Sitelen-seli-kiwen-ijo-kijetesantakalu.svg
Q137763283      ijo kili                       Sitelen-seli-kiwen-ijo-kili.svg         
Q137763284      ijo kin                        Sitelen-seli-kiwen-ijo-kin.svg          
Q137763285      ijo kipisi                     Sitelen-seli-kiwen-ijo-kipisi.svg       
Q137763286      ijo kiwen                      Sitelen-seli-kiwen-ijo-kiwen.svg        
Q137763287      ijo ko                         Sitelen-seli-kiwen-ijo-ko.svg           
Q137763288      ijo kon                        Sitelen-seli-kiwen-ijo-kon.svg          
Q137763289      ijo kule                       Sitelen-seli-kiwen-ijo-kule.svg         
Q137763291      ijo kulupu                     Sitelen-seli-kiwen-ijo-kulupu.svg       
Q137763292      ijo kute                       Sitelen-seli-kiwen-ijo-kute.svg         
Q137763293      ijo lape                       Sitelen-seli-kiwen-ijo-lape.svg         
Q137763294      ijo laso                       Sitelen-seli-kiwen-ijo-laso.svg         
Q137763295      ijo len                        Sitelen-seli-kiwen-ijo-len.svg          
Q137763296      ijo lete                       Sitelen-seli-kiwen-ijo-lete.svg         
Q137763298      ijo linja                      Sitelen-seli-kiwen-ijo-linja.svg        
Q137763299      ijo lipu                       Sitelen-seli-kiwen-ijo-lipu.svg         
Q137763301      ijo loje                       Sitelen-seli-kiwen-ijo-loje.svg         
Q137763302      ijo luka                       Sitelen-seli-kiwen-ijo-luka.svg         
Q137763303      ijo lukin                      Sitelen-seli-kiwen-ijo-lukin.svg        
Q137763304      ijo lupa                       Sitelen-seli-kiwen-ijo-lupa.svg         
Q137763305      ijo ma                         Sitelen-seli-kiwen-ijo-ma.svg           
Q137763307      ijo mama                       Sitelen-seli-kiwen-ijo-mama.svg         
Q137763308      ijo mani                       Sitelen-seli-kiwen-ijo-mani.svg         
Q137763310      ijo meli                       Sitelen-seli-kiwen-ijo-meli.svg         
Q137763311      ijo mi                         Sitelen-seli-kiwen-ijo-mi.svg           
Q137763313      ijo mije                       Sitelen-seli-kiwen-ijo-mije.svg         
Q137763315      ijo moku                       Sitelen-seli-kiwen-ijo-moku.svg         
Q137763316      ijo moli                       Sitelen-seli-kiwen-ijo-moli.svg         
Q137763317      ijo monsi                      Sitelen-seli-kiwen-ijo-monsi.svg        
Q137763318      ijo monsuta                    Sitelen-seli-kiwen-ijo-monsuta.svg      
Q137763319      ijo mu                         Sitelen-seli-kiwen-ijo-mu.svg           
Q137763321      ijo mun                        Sitelen-seli-kiwen-ijo-mun.svg          
Q137763322      ijo musi                       Sitelen-seli-kiwen-ijo-musi.svg         
Q137763323      ijo mute                       Sitelen-seli-kiwen-ijo-mute.svg         
Q137763324      ijo namako                     Sitelen-seli-kiwen-ijo-namako.svg       
Q137763326      ijo nanpa                      Sitelen-seli-kiwen-ijo-nanpa.svg        
Q137763327      ijo nasa                       Sitelen-seli-kiwen-ijo-nasa.svg         
Q137763328      ijo nasin                      Sitelen-seli-kiwen-ijo-nasin.svg        
Q137763329      ijo nena                       Sitelen-seli-kiwen-ijo-nena.svg         
Q137763331      ijo ni                         Sitelen-seli-kiwen-ijo-ni.svg           
Q137763332      ijo ni li seme                 Sitelen-seli-kiwen-ijo-ni-li-seme.svg   
Q137763333      ijo nimi                       Sitelen-seli-kiwen-ijo-nimi.svg         
Q137763334      ijo noka                       Sitelen-seli-kiwen-ijo-noka.svg         
Q137763335      ijo oko                        Sitelen-seli-kiwen-ijo-oko.svg          
Q137763336      ijo olin                       Sitelen-seli-kiwen-ijo-olin.svg         
Q137763337      ijo ona                        Sitelen-seli-kiwen-ijo-ona.svg          
Q137763338      ijo open                       Sitelen-seli-kiwen-ijo-open.svg         
Q137763339      ijo pakala                     Sitelen-seli-kiwen-ijo-pakala.svg       
Q137763340      ijo pake                       Sitelen-seli-kiwen-ijo-pake.svg         
Q137763341      ijo pali                       Sitelen-seli-kiwen-ijo-pali.svg         
Q137763342      ijo palisa                     Sitelen-seli-kiwen-ijo-palisa.svg       
Q137763343      ijo pan                        Sitelen-seli-kiwen-ijo-pan.svg          
Q137763344      ijo pana                       Sitelen-seli-kiwen-ijo-pana.svg         
Q137763345      ijo pilin                      Sitelen-seli-kiwen-ijo-pilin.svg        
Q137763347      ijo pimeja                     Sitelen-seli-kiwen-ijo-pimeja.svg       
Q137763348      ijo pini                       Sitelen-seli-kiwen-ijo-pini.svg         
Q137763349      ijo pipi                       Sitelen-seli-kiwen-ijo-pipi.svg         
Q137763350      ijo poka                       Sitelen-seli-kiwen-ijo-poka.svg         
Q137763351      ijo poki                       Sitelen-seli-kiwen-ijo-poki.svg         
Q137763352      ijo pona                       Sitelen-seli-kiwen-ijo-pona.svg         
Q137763353      ijo pu                         Sitelen-seli-kiwen-ijo-pu.svg           
Q137763354      ijo sama                       Sitelen-seli-kiwen-ijo-sama.svg         
Q137763355      ijo seli                       Sitelen-seli-kiwen-ijo-seli.svg         
Q137763356      ijo selo                       Sitelen-seli-kiwen-ijo-selo.svg         
Q137763357      ijo seme                       Sitelen-seli-kiwen-ijo-seme.svg         
Q137763358      ijo sewi                       Sitelen-seli-kiwen-ijo-sewi.svg         
Q137763360      ijo sike                       Sitelen-seli-kiwen-ijo-sike.svg         
Q137763361      ijo sin                        Sitelen-seli-kiwen-ijo-sin.svg          
Q137763362      ijo sina                       Sitelen-seli-kiwen-ijo-sina.svg         
Q137763363      ijo sinpin                     Sitelen-seli-kiwen-ijo-sinpin.svg       
Q137763364      ijo sitelen                    Sitelen-seli-kiwen-ijo-sitelen.svg      
Q137763365      ijo sona                       Sitelen-seli-kiwen-ijo-sona.svg         
Q137763366      ijo soweli                     Sitelen-seli-kiwen-ijo-soweli.svg       
Q137763367      ijo Stella                     Sitelen-seli-kiwen-ijo-Stella.svg       
Q137763368      ijo suli                       Sitelen-seli-kiwen-ijo-suli.svg         
Q137763369      ijo suno                       Sitelen-seli-kiwen-ijo-suno.svg         
Q137763370      ijo supa                       Sitelen-seli-kiwen-ijo-supa.svg         
Q137763371      ijo suwi                       Sitelen-seli-kiwen-ijo-suwi.svg         
Q137763372      ijo tan                        Sitelen-seli-kiwen-ijo-tan.svg          
Q137763374      ijo taso                       Sitelen-seli-kiwen-ijo-taso.svg         
Q137763375      ijo tawa                       Sitelen-seli-kiwen-ijo-tawa.svg         
Q137763376      ijo telo                       Sitelen-seli-kiwen-ijo-telo.svg         
Q137763377      ijo tenpo                      Sitelen-seli-kiwen-ijo-tenpo.svg        
Q137763378      ijo toki                       Sitelen-seli-kiwen-ijo-toki.svg         
Q137763379      ijo tomo                       Sitelen-seli-kiwen-ijo-tomo.svg         
Q137763380      ijo tonsi                      Sitelen-seli-kiwen-ijo-tonsi.svg        
Q137763382      ijo tu                         Sitelen-seli-kiwen-ijo-tu.svg           
Q137763383      ijo unpa                       Sitelen-seli-kiwen-ijo-unpa.svg         
Q137763384      ijo uta                        Sitelen-seli-kiwen-ijo-uta.svg          
Q137763385      ijo utala                      Sitelen-seli-kiwen-ijo-utala.svg        
Q137763386      ijo vivi                       Sitelen-seli-kiwen-ijo-vivi.svg         
Q137763387      ijo walo                       Sitelen-seli-kiwen-ijo-walo.svg         
Q137763388      ijo wan                        Sitelen-seli-kiwen-ijo-wan.svg          
Q137763390      ijo waso                       Sitelen-seli-kiwen-ijo-waso.svg         
Q137763391      ijo wawa                       Sitelen-seli-kiwen-ijo-wawa.svg         
Q137763392      ijo weka                       Sitelen-seli-kiwen-ijo-weka.svg         
Q137763393      ike ala                        Sitelen-seli-kiwen-ike-ala.svg          
Q137763394      ike lili                       Sitelen-seli-kiwen-ike-lili.svg         
Q137763396      ike lukin                      Sitelen-seli-kiwen-ike-lukin.svg        
Q137763397      ike mute                       Sitelen-seli-kiwen-ike-mute.svg         
Q137763398      ilo lape                       Sitelen-seli-kiwen-ilo-lape.svg         
Q137763399      ilo moli                       Sitelen-seli-kiwen-ilo-moli.svg         
Q137763400      ilo oko                        Sitelen-seli-kiwen-ilo-oko.svg          
Q137763401      ilo open                       Sitelen-seli-kiwen-ilo-open.svg         
Q137763402      jan ala                        Sitelen-seli-kiwen-jan-ala.svg          
Q137763403      jan alasa                      Sitelen-seli-kiwen-jan-alasa.svg        
Q137763405      jan ale                        Sitelen-seli-kiwen-jan-ale.svg          
Q137763406      jan ali                        Sitelen-seli-kiwen-jan-ali.svg          
Q137763407      jan ante                       Sitelen-seli-kiwen-jan-ante.svg         
Q137763408      jan ike                        Sitelen-seli-kiwen-jan-ike.svg          
Q137763409      jan kala                       Sitelen-seli-kiwen-jan-kala.svg         
Q137763410      jan kalama                     Sitelen-seli-kiwen-jan-kalama.svg       
Q137763413      jan kasi                       Sitelen-seli-kiwen-jan-kasi.svg         
Q137763414      jan kulupu                     Sitelen-seli-kiwen-jan-kulupu.svg       
Q137763415      jan monsuta                    Sitelen-seli-kiwen-jan-monsuta.svg      
Q137763416      jan mute                       Sitelen-seli-kiwen-jan-mute.svg         
Q137763417      jan ni                         Sitelen-seli-kiwen-jan-ni.svg           
Q137763418      jan olin                       Sitelen-seli-kiwen-jan-olin.svg         
Q137763419      jan pakala                     Sitelen-seli-kiwen-jan-pakala.svg       
Q137763420      jan poka                       Sitelen-seli-kiwen-jan-poka.svg         
Q137763422      jan pona                       Sitelen-seli-kiwen-jan-pona.svg         
Q137763423      jan seme                       Sitelen-seli-kiwen-jan-seme.svg         
Q137763424      jan sin                        Sitelen-seli-kiwen-jan-sin.svg          
Q137763425      jan suli                       Sitelen-seli-kiwen-jan-suli.svg         
Q137763426      jan suwi                       Sitelen-seli-kiwen-jan-suwi.svg         
Q137763427      jan toki                       Sitelen-seli-kiwen-jan-toki.svg         
Q137763428      jan unpa                       Sitelen-seli-kiwen-jan-unpa.svg         
Q137763430      jan wawa                       Sitelen-seli-kiwen-jan-wawa.svg         
Q137763431      kala ike                       Sitelen-seli-kiwen-kala-ike.svg         
Q137763432      kala lete                      Sitelen-seli-kiwen-kala-lete.svg        
Q137763433      kala lili                      Sitelen-seli-kiwen-kala-lili.svg        
Q137763434      kala pona                      Sitelen-seli-kiwen-kala-pona.svg        
Q137763435      kama pona                      Sitelen-seli-kiwen-kama-pona.svg        
Q137763436      kasi jelo                      Sitelen-seli-kiwen-kasi-jelo.svg        
Q137763437      kasi ko                        Sitelen-seli-kiwen-kasi-ko.svg          
Q137763439      kasi kule                      Sitelen-seli-kiwen-kasi-kule.svg        
Q137763440      kasi laso                      Sitelen-seli-kiwen-kasi-laso.svg        
Q137763441      kasi lili                      Sitelen-seli-kiwen-kasi-lili.svg        
Q137763442      kasi loje                      Sitelen-seli-kiwen-kasi-loje.svg        
Q137763443      kasi pimeja                    Sitelen-seli-kiwen-kasi-pimeja.svg      
Q137763444      kasi walo                      Sitelen-seli-kiwen-kasi-walo.svg        
Q137763445      kijetesantakalu soweli         Sitelen-seli-kiwen-kijetesantakalu-soweli.svg
Q137763446      kili jelo                      Sitelen-seli-kiwen-kili-jelo.svg        
Q137763447      kili laso                      Sitelen-seli-kiwen-kili-laso.svg        
Q137763448      kili lili                      Sitelen-seli-kiwen-kili-lili.svg        
Q137763449      kili loje                      Sitelen-seli-kiwen-kili-loje.svg        
Q137763450      kili pimeja                    Sitelen-seli-kiwen-kili-pimeja.svg      
Q137763452      kili suwi                      Sitelen-seli-kiwen-kili-suwi.svg        
Q137763453      kili walo                      Sitelen-seli-kiwen-kili-walo.svg        
Q137763454      kiwen ike                      Sitelen-seli-kiwen-kiwen-ike.svg        
Q137763455      kiwen jelo                     Sitelen-seli-kiwen-kiwen-jelo.svg       
Q137763456      kiwen laso                     Sitelen-seli-kiwen-kiwen-laso.svg       
Q137763457      kiwen lete                     Sitelen-seli-kiwen-kiwen-lete.svg       
Q137763458      kiwen lili                     Sitelen-seli-kiwen-kiwen-lili.svg       
Q137763459      kiwen loje                     Sitelen-seli-kiwen-kiwen-loje.svg       
Q137763460      kiwen mun                      Sitelen-seli-kiwen-kiwen-mun.svg        
Q137763461      kiwen pimeja                   Sitelen-seli-kiwen-kiwen-pimeja.svg     
Q137763462      kiwen pona                     Sitelen-seli-kiwen-kiwen-pona.svg       
Q137763463      kiwen seli                     Sitelen-seli-kiwen-kiwen-seli.svg       
Q137763464      kiwen suno                     Sitelen-seli-kiwen-kiwen-suno.svg       
Q137763465      kiwen walo                     Sitelen-seli-kiwen-kiwen-walo.svg       
Q137763466      ko jelo                        Sitelen-seli-kiwen-ko-jelo.svg          
Q137763467      ko kasi                        Sitelen-seli-kiwen-ko-kasi.svg          
Q137763468      ko kule                        Sitelen-seli-kiwen-ko-kule.svg          
Q137763470      ko laso                        Sitelen-seli-kiwen-ko-laso.svg          
Q137763471      ko lili                        Sitelen-seli-kiwen-ko-lili.svg          
Q137763472      ko loje                        Sitelen-seli-kiwen-ko-loje.svg          
Q137763473      ko nasa                        Sitelen-seli-kiwen-ko-nasa.svg          
Q137763474      ko pimeja                      Sitelen-seli-kiwen-ko-pimeja.svg        
Q137763475      ko seli                        Sitelen-seli-kiwen-ko-seli.svg          
Q137763476      ko walo                        Sitelen-seli-kiwen-ko-walo.svg          
Q137763477      kon lete                       Sitelen-seli-kiwen-kon-lete.svg         
Q137763478      kule kili                      Sitelen-seli-kiwen-kule-kili.svg        
Q137763479      kule ma                        Sitelen-seli-kiwen-kule-ma.svg          
Q137763480      kule mun                       Sitelen-seli-kiwen-kule-mun.svg         
Q137763481      kule pilin                     Sitelen-seli-kiwen-kule-pilin.svg       
Q137763482      kule sewi                      Sitelen-seli-kiwen-kule-sewi.svg        
Q137763483      kule suno                      Sitelen-seli-kiwen-kule-suno.svg        
Q137763484      kule telo                      Sitelen-seli-kiwen-kule-telo.svg        
Q137763485      kule uta                       Sitelen-seli-kiwen-kule-uta.svg         
Q137763486      lan sin                        Sitelen-seli-kiwen-lan-sin.svg          
Q137763487      laso kasi                      Sitelen-seli-kiwen-laso-kasi.svg        
Q137763488      laso mun                       Sitelen-seli-kiwen-laso-mun.svg         
Q137763489      laso sewi                      Sitelen-seli-kiwen-laso-sewi.svg        
