Word,Sonapona URL
aka,https://sonapona.miraheze.org/wiki/aka
ako,https://sonapona.miraheze.org/wiki/ako
aku,https://sonapona.miraheze.org/wiki/aku
anta,https://sonapona.miraheze.org/wiki/anta
antikontitutonelema,https://sonapona.miraheze.org/wiki/antikontitutonelema
apelo,https://sonapona.miraheze.org/wiki/apelo
api,https://sonapona.miraheze.org/wiki/api
asu,https://sonapona.miraheze.org/wiki/asu
ata,https://sonapona.miraheze.org/wiki/ata
awase,https://sonapona.miraheze.org/wiki/awase
awesome,https://sonapona.miraheze.org/wiki/awesome
eki,https://sonapona.miraheze.org/wiki/eki
enko,https://sonapona.miraheze.org/wiki/enko
ete,https://sonapona.miraheze.org/wiki/ete
ewe,https://sonapona.miraheze.org/wiki/ewe
i,https://sonapona.miraheze.org/wiki/i
iki,https://sonapona.miraheze.org/wiki/iki
inta,https://sonapona.miraheze.org/wiki/inta
ipi,https://sonapona.miraheze.org/wiki/ipi
isa,https://sonapona.miraheze.org/wiki/isa
iseki,https://sonapona.miraheze.org/wiki/iseki
isipin,https://sonapona.miraheze.org/wiki/isipin
itomi,https://sonapona.miraheze.org/wiki/itomi
ja,https://sonapona.miraheze.org/wiki/ja
jaku,https://sonapona.miraheze.org/wiki/jaku
jalan,https://sonapona.miraheze.org/wiki/jalan
jami,https://sonapona.miraheze.org/wiki/jami
jans,https://sonapona.miraheze.org/wiki/jans
je,https://sonapona.miraheze.org/wiki/je
jete,https://sonapona.miraheze.org/wiki/jete
jonke,https://sonapona.miraheze.org/wiki/jonke
ju,https://sonapona.miraheze.org/wiki/ju
jule,https://sonapona.miraheze.org/wiki/jule
jume,https://sonapona.miraheze.org/wiki/jume
ka,https://sonapona.miraheze.org/wiki/ka
kalapisituji,https://sonapona.miraheze.org/wiki/kalapisituji
kalijopilale,https://sonapona.miraheze.org/wiki/kalijopilale
kamalawala,https://sonapona.miraheze.org/wiki/kamalawala
kamosa,https://sonapona.miraheze.org/wiki/kamosa
kani,https://sonapona.miraheze.org/wiki/kani
kapa,https://sonapona.miraheze.org/wiki/kapa
kapesi,https://sonapona.miraheze.org/wiki/kapesi
kasan,https://sonapona.miraheze.org/wiki/kasan
ke,https://sonapona.miraheze.org/wiki/ke
kelo,https://sonapona.miraheze.org/wiki/kelo
kepen,https://sonapona.miraheze.org/wiki/kepen
kese,https://sonapona.miraheze.org/wiki/kese
kewe,https://sonapona.miraheze.org/wiki/kewe
kiki,https://sonapona.miraheze.org/wiki/kiki
kikolo,https://sonapona.miraheze.org/wiki/kikolo
kitu,https://sonapona.miraheze.org/wiki/kitu
kokoliko,https://sonapona.miraheze.org/wiki/kokoliko
kolo,https://sonapona.miraheze.org/wiki/kolo
konsi,https://sonapona.miraheze.org/wiki/konsi
konwe,https://sonapona.miraheze.org/wiki/konwe
kosa,https://sonapona.miraheze.org/wiki/kosa
kosan,https://sonapona.miraheze.org/wiki/kosan
kulaso,https://sonapona.miraheze.org/wiki/kulaso
kulijo,https://sonapona.miraheze.org/wiki/kulijo
kulu,https://sonapona.miraheze.org/wiki/kulu
kuntu,https://sonapona.miraheze.org/wiki/kuntu
kutopoma,https://sonapona.miraheze.org/wiki/kutopoma
lan,https://sonapona.miraheze.org/wiki/lan
lapan,https://sonapona.miraheze.org/wiki/lapan
lijokuku,https://sonapona.miraheze.org/wiki/lijokuku
likujo,https://sonapona.miraheze.org/wiki/likujo
