anpa lawa	Q137771368	Category:anpa lawa (Toki Pona)
ijo lawa	Q137771369	Category:ijo lawa (Toki Pona)
ijo leko	Q137771370	Category:ijo leko (Toki Pona)
ijo lili	Q137771371	Category:ijo lili (Toki Pona)
ijo lon	Q137771372	Category:ijo lon (Toki Pona)
ijo sijelo	Q137771373	Category:ijo sijelo (Toki Pona)
ijo wile	Q137771374	Category:ijo wile (Toki Pona)
ilo kipisi	Q137771375	Category:ilo kipisi (Toki Pona)
ilo lukin	Q137771376	Category:ilo lukin (Toki Pona)
ilo musi	Q137771377	Category:ilo musi (Toki Pona)
ilo nanpa	Q137771378	Category:ilo nanpa (Toki Pona)
ilo suno	Q137771379	Category:ilo suno (Toki Pona)
ilo toki	Q137771380	Category:ilo toki (Toki Pona)
jan lawa	Q137771382	Category:jan lawa (Toki Pona)
jan lili	Q137771383	Category:jan lili (Toki Pona)
jan nasa	Q137771384	Category:jan nasa (Toki Pona)
jan pali	Q137771385	Category:jan pali (Toki Pona)
jan sama	Q137771386	Category:jan sama (Toki Pona)
jan sewi	Q137771387	Category:jan sewi (Toki Pona)
jan sona	Q137771388	Category:jan sona (Toki Pona)
jan utala	Q137771389	Category:jan utala (Toki Pona)
kalama musi	Q137771390	Category:kalama musi (Toki Pona)
kama sona	Q137771391	Category:kama sona (Toki Pona)
kili palisa	Q137771392	Category:kili palisa (Toki Pona)
kiwen kasi	Q137771393	Category:kiwen kasi (Toki Pona)
ko jaki	Q137771394	Category:ko jaki (Toki Pona)
ko lete	Q137771395	Category:ko lete (Toki Pona)
kule kasi	Q137771396	Category:kule kasi (Toki Pona)
len lawa	Q137771397	Category:len lawa (Toki Pona)
len noka	Q137771398	Category:len noka (Toki Pona)
linja pona	Q137771399	Category:linja pona (Toki Pona)
linja sike	Q137771400	Category:linja sike (Toki Pona)
lipu kule	Q137771401	Category:lipu kule (Toki Pona)
lipu nimi	Q137771403	Category:lipu nimi (Toki Pona)
lipu sewi	Q137771404	Category:lipu sewi (Toki Pona)
lipu sona	Q137771405	Category:lipu sona (Toki Pona)
lipu tenpo	Q137771406	Category:lipu tenpo (Toki Pona)
lipu toki	Q137771407	Category:lipu toki (Toki Pona)
luka luka	Q137771408	Category:luka luka (Toki Pona)
luka luka luka	Q137771409	Category:luka luka luka (Toki Pona)
luka luka tu	Q137771410	Category:luka luka tu (Toki Pona)
luka luka tu tu	Q137771411	Category:luka luka tu tu (Toki Pona)
luka luka tu wan	Q137771412	Category:luka luka tu wan (Toki Pona)
luka luka wan	Q137771413	Category:luka luka wan (Toki Pona)
luka tu	Q137771414	Category:luka tu (Toki Pona)
luka tu tu	Q137771415	Category:luka tu tu (Toki Pona)
luka tu wan	Q137771417	Category:luka tu wan (Toki Pona)
luka wan	Q137771418	Category:luka wan (Toki Pona)
lupa meli	Q137771419	Category:lupa meli (Toki Pona)
lupa monsi	Q137771420	Category:lupa monsi (Toki Pona)
ma ale	Q137771421	Category:ma ale (Toki Pona)
ma ali	Q137771422	Category:ma ali (Toki Pona)
ma pona	Q137771423	Category:ma pona (Toki Pona)
