Category,Used By File,File Count
Category:Aasun (toki pona),File:Sitelen-seli-kiwen-aasun.svg,1
Category:Aja (toki pona),File:Sitelen-seli-kiwen-Aja.svg,1
Category:Aka (toki pona),File:Sitelen-seli-kiwen-aka.svg,1
Category:Ako (toki pona),File:Sitelen-seli-kiwen-ako.svg,3
,File:Sitelen-seli-kiwen-ako1.svg,
,File:Sitelen-seli-kiwen-ako2.svg,
Category:Aku (toki pona),File:Sitelen-seli-kiwen-aku.svg,1
Category:Alente (toki pona),File:Sitelen-seli-kiwen-alente.svg,1
Category:Alisa (toki pona),File:Sitelen-seli-kiwen-Alisa.svg,1
Category:Alu (toki pona),File:Sitelen-seli-kiwen-alu.svg,1
Category:Amanka (toki pona),File:Sitelen-seli-kiwen-Amanka.svg,1
Category:Amelin (toki pona),File:Sitelen-seli-kiwen-Amelin.svg,1
Category:Amonka (toki pona),File:Sitelen-seli-kiwen-Amonka.svg,1
Category:Ana (toki pona),File:Sitelen-seli-kiwen-ana.svg,1
Category:Ani (toki pona),File:Sitelen-seli-kiwen-ani.svg,1
Category:Ansu (toki pona),File:Sitelen-seli-kiwen-Ansu.svg,1
Category:Anta (toki pona),File:Sitelen-seli-kiwen-anta.svg,1
Category:Antepan (toki pona),File:Sitelen-seli-kiwen-Antepan.svg,1
Category:Antikontitutonelema (toki pona),File:Sitelen-seli-kiwen-antikontitutonelema.svg,3
,File:Sitelen-seli-kiwen-antikontitutonelema1.svg,
,File:Sitelen-seli-kiwen-antikontitutonelema2.svg,
Category:Apelo (toki pona),File:Sitelen-seli-kiwen-apelo.svg,1
Category:Api (toki pona),File:Sitelen-seli-kiwen-api.svg,5
,File:Sitelen-seli-kiwen-api1.svg,
,File:Sitelen-seli-kiwen-api2.svg,
,File:Sitelen-seli-kiwen-api3.svg,
,File:Sitelen-seli-kiwen-api4.svg,
Category:Asiku (toki pona),File:Sitelen-seli-kiwen-Asiku.svg,1
Category:Asu (toki pona),File:Sitelen-seli-kiwen-asu.svg,1
Category:Asuki (toki pona),File:Sitelen-seli-kiwen-Asuki.svg,1
Category:Asuto (toki pona),File:Sitelen-seli-kiwen-Asuto.svg,1
Category:Atu (toki pona),File:Sitelen-seli-kiwen-Atu.svg,1
Category:Awase (toki pona),File:Sitelen-seli-kiwen-awase.svg,1
Category:Eki (toki pona),File:Sitelen-seli-kiwen-eki.svg,1
Category:Eko (toki pona),File:Sitelen-seli-kiwen-Eko.svg,4
,File:Sitelen-seli-kiwen-Eko1.svg,
,File:Sitelen-seli-kiwen-Eko2.svg,
,File:Sitelen-seli-kiwen-Eko3.svg,
Category:Elen (toki pona),File:Sitelen-seli-kiwen-elen.svg,1
Category:Eliki (toki pona),File:Sitelen-seli-kiwen-eliki.svg,1
Category:Ene (toki pona),File:Sitelen-seli-kiwen-ene.svg,1
Category:Enepi (toki pona),File:Sitelen-seli-kiwen-enepi.svg,1
Category:Eni (toki pona),File:Sitelen-seli-kiwen-eni.svg,1
Category:Enki (toki pona),File:Sitelen-seli-kiwen-Enki.svg,1
Category:Enko (toki pona),File:Sitelen-seli-kiwen-enko.svg,4
,File:Sitelen-seli-kiwen-enko1.svg,
,File:Sitelen-seli-kiwen-enko2.svg,
,File:Sitelen-seli-kiwen-enko3.svg,
Category:Epikule (toki pona),File:Sitelen-seli-kiwen-epikule.svg,1
Category:Esile (toki pona),File:Sitelen-seli-kiwen-Esile.svg,1
Category:Ete (toki pona),File:Sitelen-seli-kiwen-ete.svg,3
,File:Sitelen-seli-kiwen-ete1.svg,
,File:Sitelen-seli-kiwen-ete2.svg,
Category:Ewe (toki pona),File:Sitelen-seli-kiwen-ewe.svg,1
Category:Eweke (toki pona),File:Sitelen-seli-kiwen-Eweke.svg,3
,File:Sitelen-seli-kiwen-Eweke1.svg,
,File:Sitelen-seli-kiwen-Eweke2.svg,
Category:Fairfax (toki pona),File:Sitelen-seli-kiwen-Fairfax.svg,1
Category:HD (toki pona),File:Sitelen-seli-kiwen-HD.svg,1
Category:Iki (toki pona),File:Sitelen-seli-kiwen-iki.svg,3
,File:Sitelen-seli-kiwen-iki1.svg,
,File:Sitelen-seli-kiwen-iki2.svg,
Category:Ilaje (toki pona),File:Sitelen-seli-kiwen-Ilaje.svg,1
Category:Ilapa (toki pona),File:Sitelen-seli-kiwen-ilapa.svg,1
Category:Inta (toki pona),File:Sitelen-seli-kiwen-inta.svg,1
Category:Ipan (toki pona),File:Sitelen-seli-kiwen-Ipan.svg,1
Category:Ipawi (toki pona),File:Sitelen-seli-kiwen-Ipawi.svg,1
Category:Ipi (toki pona),File:Sitelen-seli-kiwen-ipi.svg,3
,File:Sitelen-seli-kiwen-ipi1.svg,
,File:Sitelen-seli-kiwen-ipi2.svg,
Category:Iseja (toki pona),File:Sitelen-seli-kiwen-Iseja.svg,1
Category:Iseki (toki pona),File:Sitelen-seli-kiwen-iseki.svg,1
Category:Isipin (toki pona),File:Sitelen-seli-kiwen-isipin.svg,1
Category:Itomi (toki pona),File:Sitelen-seli-kiwen-itomi.svg,1
Category:Ja (toki pona),File:Sitelen-seli-kiwen-ja.svg,1
Category:Jaku (toki pona),File:Sitelen-seli-kiwen-jaku.svg,1
Category:Jalan (toki pona),File:Sitelen-seli-kiwen-jalan.svg,1
Category:Jalepu (toki pona),File:Sitelen-seli-kiwen-Jalepu.svg,1
Category:Jami (toki pona),File:Sitelen-seli-kiwen-jami.svg,1
Category:Jans (toki pona),File:Sitelen-seli-kiwen-jans.svg,1
Category:Jasun (toki pona),File:Sitelen-seli-kiwen-Jasun.svg,1
Category:Je (toki pona),File:Sitelen-seli-kiwen-je.svg,3
,File:Sitelen-seli-kiwen-je1.svg,
,File:Sitelen-seli-kiwen-je2.svg,
Category:Jesi (toki pona),File:Sitelen-seli-kiwen-Jesi.svg,1
Category:Jete (toki pona),File:Sitelen-seli-kiwen-jete.svg,1
Category:Jew (toki pona),File:Sitelen-seli-kiwen-jew.svg,1
Category:Jonatan (toki pona),File:Sitelen-seli-kiwen-Jonatan.svg,1
Category:Jonke (toki pona),File:Sitelen-seli-kiwen-jonke.svg,1
Category:Ju (toki pona),File:Sitelen-seli-kiwen-ju.svg,1
Category:Jule (toki pona),File:Sitelen-seli-kiwen-jule.svg,1
Category:Jules (toki pona),File:Sitelen-seli-kiwen-Jules.svg,1
Category:Jume (toki pona),File:Sitelen-seli-kiwen-jume.svg,1
Category:Juniko (toki pona),File:Sitelen-seli-kiwen-Juniko.svg,1
Category:Jusijesuwa (toki pona),File:Sitelen-seli-kiwen-Jusijesuwa.svg,1
Category:Jusisa (toki pona),File:Sitelen-seli-kiwen-Jusisa.svg,1
Category:Kaken (toki pona),File:Sitelen-seli-kiwen-Kaken.svg,1
