pageid,title
9326,-1
6933,0
6924,1
9296,10
9327,100
9299,11
7391,11m
9300,12
9301,13
9302,14
9298,142857
9303,15
5775,1917 Suli Seli
6925,2
6578,2 + 2 = 5
6935,3
6937,4
9291,45
9297,46
9290,5
9292,6
6522,6489
9293,7
9294,8
6521,8964
9295,9
9252,A
904,AEI pi toki pona
4510,Alisotele
4509,Alitotele
905,Amasan
171,Among Us
9979,Anli
4505,Aristoteles
4506,Aristotélēs
9254,B
4424,Bon Wen
2934,Bonn
4347,Bora Bill!
7761,Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo
9256,C
4419,Cagliari
3111,Capital punishment
4420,Casteddu
5437,Chris Colombus
6373,Cogito ergo sum
10166,Creampie
9257,D
5768,D-Day
10086,Detroit
5871,Dieu et mon droit
5419,Duolingo
9265,E
906,E@I
4453,EelST
4452,Elio e le Storie Tese
3743,English
907,Esitensaliin
908,Existentialism
9266,F
8254,Five Nights at Freddy's
9267,G
4416,Gabibbo
7692,Google Translate
9975,Grabczok
9268,H
6303,Hands Off
5439,Home Alone
9269,I
909,ISO
7146,ISO-639
5325,ISO 15924:Arab
5326,ISO 15924:Beng
5327,ISO 15924:Brai
5328,ISO 15924:Cyrl
5329,ISO 15924:Deva
5330,ISO 15924:Grek
5331,ISO 15924:Hang
5332,ISO 15924:Hani
5333,ISO 15924:Hans
5334,ISO 15924:Hant
5335,ISO 15924:Hira
5336,ISO 15924:Hmng
5434,ISO 15924:Ital
5337,ISO 15924:Jpan
5338,ISO 15924:Kana
5339,ISO 15924:Latn
5340,ISO 15924:Runr
7260,ISO 15924:Taml
5341,ISO 15924:Teng
5342,ISO 15924:Zsye
4981,ISO 3166:AD
4982,ISO 3166:AE
4983,ISO 3166:AF
4984,ISO 3166:AG
4985,ISO 3166:AL
4986,ISO 3166:AM
4987,ISO 3166:AO
4988,ISO 3166:AR
4990,ISO 3166:AT
4989,ISO 3166:AT-9
4998,ISO 3166:AU
4991,ISO 3166:AU-ACT
4992,ISO 3166:AU-NSW
4993,ISO 3166:AU-NT
4994,ISO 3166:AU-QLD
4995,ISO 3166:AU-SA
4996,ISO 3166:AU-TAS
4999,ISO 3166:AU-VIC
4997,ISO 3166:AU-WA
